matrix_size,onmult_elapsed_seconds,onmult_time_seconds,onmult_gflops_estimate,onmult_cache_miss_rate,onmult_l1_miss_rate,onmult_llc_miss_rate,onmultline_elapsed_seconds,onmultline_time_seconds,onmultline_gflops_estimate,onmultline_cache_miss_rate,onmultline_l1_miss_rate,onmultline_llc_miss_rate,onmultline_speedup_vs_onmult,best_block_size,best_block_elapsed_seconds,best_block_time_seconds,best_block_gflops_estimate,best_block_cache_miss_rate,best_block_l1_miss_rate,best_block_llc_miss_rate,best_block_speedup_vs_onmult,best_block_speedup_vs_onmultline,fastest_algorithm
1024.0,2.3001828,2.292,0.9336143405645847,0.0007093352288342269,0.4889127596176573,0.00013365164636984164,0.335976691,0.327,6.391763790542243,0.005077342423338365,0.03846882985170602,0.058727005280214725,6.846257081566412,256.0,0.330110903,0.32,6.50533995843209,0.24932322599384357,0.019393370757948475,0.21379100279828175,6.967909205955551,1.01776914348085,OnMultBlock(best)
1536.0,9.080393014,9.062,0.7981766098477816,0.012047602185253518,0.49836021357175325,0.006324124802655072,1.237959609,1.22,5.854599180222526,0.0254387495914123,0.05410539093170786,0.15683175229530502,7.334967108769378,256.0,1.068949452,1.048,6.7802619650905624,0.20314110261357257,0.022365602801049024,0.1561164168605595,8.494688871406055,1.158108652082456,OnMultBlock(best)
2048.0,23.928960627,23.9,0.7179530048043654,0.0810069810595811,0.546312850026895,0.057957407109429496,3.633234831,3.609,4.728532556556898,0.21188514763695757,0.03947180289077197,0.8039066903676794,6.586131020992625,256.0,2.743420067,2.709,6.262208762942609,0.2700813250789767,0.029016239793038794,0.23437946821447303,8.722310124809624,1.3243450664750132,OnMultBlock(best)
2560.0,61.988599733,61.937,0.5413000478237469,0.12518078981861283,0.8136091888353002,0.0643246364866664,7.442480053,7.407,4.508501435146541,0.505919026644294,0.029861121618651197,0.9828687844221914,8.329024638502448,256.0,5.344424476,5.291,6.278399507876215,0.2968215830172907,0.018212594041095893,0.2431525132664191,11.598741831111994,1.3925690383354945,OnMultBlock(best)
3072.0,153.010682638,152.925,0.3789412444696867,0.279491953868909,0.8707532151309687,0.2628677469581037,13.341768408,13.288,4.345905034690361,0.6548205683179695,0.03328968358490944,0.9832412305251542,11.46854584481107,256.0,8.868592002,8.789,6.537910243579159,0.18940076833733857,0.027312778589236152,0.14396490652065624,17.25309751576054,1.5043840561152473,OnMultBlock(best)
4096.0,,,,,,,33.429893178,33.343,4.111259127876834,0.8621805715541155,0.06223760191433353,0.9890181917485659,,256.0,22.040328069,21.908,6.235794360307623,0.2748176532935169,0.018208776384678046,0.22557069139176752,,1.516760234845123,OnMultBlock(best)
6144.0,,,,,,,116.304137563,116.122,3.9883058134259133,0.9550784549739417,0.07230033305596908,0.9931452960336272,,256.0,74.732973572,74.458,6.206851484654316,0.01666216800298273,0.024920822273030607,0.01645068838182403,,1.5562626776913817,OnMultBlock(best)
8192.0,,,,,,,275.248886552,274.91,3.9946088122259504,0.973507825638529,0.07339828810530184,0.993417406653063,,512.0,182.220104516,181.757,6.03397539857879,0.00874304353726545,0.03966969242179384,0.03003322131106894,,1.510529737007321,OnMultBlock(best)
10240.0,,,,,,,568.653825151,568.111,3.776434014894314,0.9638959084288221,0.07364439126072662,0.9926755641583652,,512.0,322.068740616,321.389,6.6677804368491245,0.0044089681467341,0.03904151754839462,0.013678298930729006,,1.765628741440019,OnMultBlock(best)
